,geometry_id,hit_id,channel0,channel1,timestamp,value,volume_id,boundary_id,layer_id,module_id,cx,cy,cz,rot_xu,rot_xv,rot_xw,rot_yu,rot_yv,rot_yw,rot_zu,rot_zv,rot_zw,bounds_type,bound_param0,bound_param1,bound_param2,bound_param3,bound_param4,bound_param5,bound_param6,module_t,pitch_u,pitch_v,x_global,y_global,z_global,radius
95730,936748859932021504,22912,91,51,0,0.0544155128,13,0,2,19,254.274734,-61.0459633,-1030.0,0.376133174,0.0,0.926565588,0.926565588,0.0,-0.376133174,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,257.01298350672,-54.300565819359996,-968.8,261.49999997322317
95731,936748859932021504,22912,92,51,0,0.368400633,13,0,2,19,254.274734,-61.0459633,-1030.0,0.376133174,0.0,0.926565588,0.926565588,0.0,-0.376133174,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,257.04307416064,-54.226440572319994,-968.8,261.49999997322317
95732,936748859932021504,22913,47,76,0,0.813286126,13,0,2,19,254.274734,-61.0459633,-1030.0,0.376133174,0.0,0.926565588,0.926565588,0.0,-0.376133174,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,255.68899473424,-57.56207668912,-938.8,261.49999997322317
95733,936748859932021504,22913,47,75,0,0.202541783,13,0,2,19,254.274734,-61.0459633,-1030.0,0.376133174,0.0,0.926565588,0.926565588,0.0,-0.376133174,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,255.68899473424,-57.56207668912,-940.0,261.49999997322317
95734,936748859932021504,22914,327,33,0,0.36358425,13,0,2,19,254.274734,-61.0459633,-1030.0,0.376133174,0.0,0.926565588,0.926565588,0.0,-0.376133174,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,264.11437783184,-36.80700751792,-990.4,261.49999997322317
95735,936748859932021504,22914,328,33,0,0.261678427,13,0,2,19,254.274734,-61.0459633,-1030.0,0.376133174,0.0,0.926565588,0.926565588,0.0,-0.376133174,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,264.14446848576,-36.73288227088,-990.4,261.49999997322317
95736,936748859932021504,22914,328,32,0,0.447583675,13,0,2,19,254.274734,-61.0459633,-1030.0,0.376133174,0.0,0.926565588,0.926565588,0.0,-0.376133174,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,264.14446848576,-36.73288227088,-991.6,261.49999997322317
95737,936748859932021504,22915,286,35,0,0.353782058,13,0,2,19,254.274734,-61.0459633,-1030.0,0.376133174,0.0,0.926565588,0.926565588,0.0,-0.376133174,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,262.88066102112,-39.84614264656,-988.0,261.49999997322317
95738,936748859932021504,22915,286,34,0,0.703521609,13,0,2,19,254.274734,-61.0459633,-1030.0,0.376133174,0.0,0.926565588,0.926565588,0.0,-0.376133174,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,262.88066102112,-39.84614264656,-989.2,261.49999997322317
95739,936748859932021760,22916,394,74,0,0.421234339,13,0,2,20,260.693878,-20.5170536,-1030.0,0.226555556,0.0,0.973998249,0.973998249,0.0,-0.226555556,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,267.83490912511996,10.183371208479997,-941.2,261.49999524876506
95740,936748859932021760,22916,395,74,0,0.196435049,13,0,2,20,260.693878,-20.5170536,-1030.0,0.226555556,0.0,0.973998249,0.973998249,0.0,-0.226555556,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,267.8530335696,10.261291068400002,-941.2,261.49999524876506
95741,936748859932021760,22916,395,73,0,0.463076919,13,0,2,20,260.693878,-20.5170536,-1030.0,0.226555556,0.0,0.973998249,0.973998249,0.0,-0.226555556,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,267.8530335696,10.261291068400002,-942.4,261.49999524876506
95742,936748859932022016,22917,573,44,0,0.385321617,13,0,2,21,260.693878,20.5170536,-1030.0,0.0713993832,0.0,0.997447789,0.997447789,0.0,-0.0713993832,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,263.966825725888,66.24006024776,-977.2,261.49999524876506
95743,936748859932022016,22917,574,44,0,0.659894347,13,0,2,21,260.693878,20.5170536,-1030.0,0.0713993832,0.0,0.997447789,0.997447789,0.0,-0.0713993832,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,263.972537676544,66.31985607088001,-977.2,261.49999524876506
95744,936748859932022016,22917,575,44,0,0.0937368646,13,0,2,21,260.693878,20.5170536,-1030.0,0.0713993832,0.0,0.997447789,0.997447789,0.0,-0.0713993832,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,263.9782496272,66.399651894,-977.2,261.49999524876506
95745,936748859932022016,22917,575,43,0,0.0074685174,13,0,2,21,260.693878,20.5170536,-1030.0,0.0713993832,0.0,0.997447789,0.997447789,0.0,-0.0713993832,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,263.9782496272,66.399651894,-978.4,261.49999524876506
95746,936748859932022272,22918,30,67,0,0.377984077,13,0,2,22,254.274734,61.0459633,-1030.0,-0.0855148807,0.0,0.996336877,0.996336877,0.0,0.0855148807,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,254.06949828632,63.437171804799995,-949.6,261.49999997322317
95747,936748859932022272,22918,30,66,0,0.282867044,13,0,2,22,254.274734,61.0459633,-1030.0,-0.0855148807,0.0,0.996336877,0.996336877,0.0,0.0855148807,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,254.06949828632,63.437171804799995,-950.8,261.49999997322317
95748,936748859932022272,22918,31,66,0,0.401899427,13,0,2,22,254.274734,61.0459633,-1030.0,-0.0855148807,0.0,0.996336877,0.996336877,0.0,0.0855148807,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,254.06265709586398,63.51687875496,-950.8,261.49999997322317
95749,936748859932022272,22919,103,48,0,0.211978659,13,0,2,22,254.274734,61.0459633,-1030.0,-0.0855148807,0.0,0.996336877,0.996336877,0.0,0.0855148807,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,253.570091383032,69.25577916648,-972.4,261.49999997322317
95750,936748859932022272,22919,104,48,0,0.631495059,13,0,2,22,254.274734,61.0459633,-1030.0,-0.0855148807,0.0,0.996336877,0.996336877,0.0,0.0855148807,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,253.563250192576,69.33548611664,-972.4,261.49999997322317
95751,936748859932022272,22919,104,47,0,0.152563468,13,0,2,22,254.274734,61.0459633,-1030.0,-0.0855148807,0.0,0.996336877,0.996336877,0.0,0.0855148807,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,253.563250192576,69.33548611664,-973.6,261.49999997322317
95752,936748859932022528,22920,364,14,0,0.96707201,13,0,2,23,241.594498,100.071716,-1030.0,-0.240323484,0.0,0.970692873,0.970692873,0.0,0.240323484,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,234.59627814592,128.33829246176,-1013.2,261.4999996310835
95753,936748859932022528,22920,364,13,0,0.0617025495,13,0,2,23,241.594498,100.071716,-1030.0,-0.240323484,0.0,0.970692873,0.970692873,0.0,0.240323484,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,234.59627814592,128.33829246176,-1014.4,261.4999996310835
95754,936748859932022528,22921,64,38,0,0.0105547095,13,0,2,23,241.594498,100.071716,-1030.0,-0.240323484,0.0,0.970692873,0.970692873,0.0,0.240323484,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,240.36404176192,105.04166350976,-984.4,261.4999996310835
95755,936748859932022528,22921,64,37,0,0.299416661,13,0,2,23,241.594498,100.071716,-1030.0,-0.240323484,0.0,0.970692873,0.970692873,0.0,0.240323484,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,240.36404176192,105.04166350976,-985.6,261.4999996310835
95756,936748859932022528,22921,65,37,0,0.720399082,13,0,2,23,241.594498,100.071716,-1030.0,-0.240323484,0.0,0.970692873,0.970692873,0.0,0.240323484,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,240.3448158832,105.11931893959999,-985.6,261.4999996310835
95757,936748859932023808,22922,232,1,0,0.490153819,13,0,2,28,100.071716,241.594498,-1030.0,-0.856317878,0.0,0.516449153,0.516449153,0.0,0.856317878,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,84.17845618432,251.17979427967998,-1028.8,261.4999996310835
95758,936748859932023808,22922,233,1,0,0.436495155,13,0,2,28,100.071716,241.594498,-1030.0,-0.856317878,0.0,0.516449153,0.516449153,0.0,0.856317878,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,84.10995075407999,251.22111021191998,-1028.8,261.4999996310835
95759,936748859932023808,22922,233,0,0,0.213639274,13,0,2,28,100.071716,241.594498,-1030.0,-0.856317878,0.0,0.516449153,0.516449153,0.0,0.856317878,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,84.10995075407999,251.22111021191998,-1030.0,261.4999996310835
95760,936748859932024064,22923,578,60,0,0.975132167,13,0,2,29,61.0459633,254.274734,-1030.0,-0.926565588,0.0,0.376133174,0.376133174,0.0,0.926565588,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,18.201570510879996,271.66713196576,-958.0,261.49999997322317
95761,936748859932024320,22924,72,81,0,0.815877497,13,0,2,30,20.5170536,260.693878,-1030.0,-0.973998249,0.0,0.226555556,0.226555556,0.0,0.973998249,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,14.906823685760001,261.99883800256,-932.8,261.49999524876506
95762,936748859932024320,22924,71,81,0,0.165344715,13,0,2,30,20.5170536,260.693878,-1030.0,-0.973998249,0.0,0.226555556,0.226555556,0.0,0.973998249,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,14.98474354568,261.98071355807997,-932.8,261.49999524876506
95763,936748859932024320,22925,121,66,0,0.524094164,13,0,2,30,20.5170536,260.693878,-1030.0,-0.973998249,0.0,0.226555556,0.226555556,0.0,0.973998249,0,1,0,6,-24.0,-54.0,24.0,54,-1,-1,-1,0.25,0.08,1.2,11.08875054968,262.88693578208,-950.8,261.49999524876506
